City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,palembang,-2.9167,104.7458,26.05,94,40,1.03,ID,1715101404
1,auki,-8.7676,160.7034,25.55,91,93,2.4,SB,1715101404
2,albany,42.6001,-73.9662,23.84,39,0,0.89,US,1715101404
3,yellowknife,62.456,-114.3525,11.34,69,75,5.66,CA,1715101184
4,ribeira grande,38.5167,-28.7,20.22,88,40,7.15,PT,1715101404
5,quang ngai,15.1167,108.8,24.24,95,85,1.36,VN,1715101297
6,blackmans bay,-43.0167,147.3167,11.4,86,100,0.45,AU,1715101404
7,ixtapa,20.7,-105.2,33.94,24,100,3.15,MX,1715101121
8,vorgashor,67.5833,63.95,-11.78,94,78,2.67,RU,1715101117
9,sitka,57.0531,-135.33,5.13,95,98,2.89,US,1715101405
10,kaset sombun,16.2805,101.9542,25.64,79,100,1.12,TH,1715101405
11,newman,37.3138,-121.0208,16.24,65,40,4.92,US,1715101148
12,grytviken,-54.2811,-36.5092,-1.34,77,47,4.09,GS,1715101405
13,aasiaat,68.7098,-52.8699,-5.6,76,100,1.01,GL,1715101405
14,touros,-5.1989,-35.4608,30.06,61,75,6.19,BR,1715101405
15,port-aux-francais,-49.35,70.2167,4.36,76,20,15.33,TF,1715101405
16,strehaia,44.6167,23.2,19.86,66,69,4.47,RO,1715101405
17,edinburgh of the seven seas,-37.0676,-12.3116,15.62,80,81,16.24,SH,1715101406
18,sinabang,2.4803,96.3801,27.03,81,97,2.07,ID,1715101406
19,antsiranana,-12.2787,49.2917,25.66,76,80,8.34,MG,1715101406
20,invercargill,-46.4,168.35,6.12,91,98,1.79,NZ,1715101406
21,adamstown,-25.066,-130.1015,21.57,79,78,5.66,PN,1715101406
22,margaret river,-33.95,115.0667,15.65,65,35,4.76,AU,1715101406
23,iqaluit,63.7506,-68.5145,-1.15,58,20,7.2,CA,1715101213
24,ulsteinvik,62.3432,5.8487,12.73,92,100,2.68,NO,1715101328
25,dum duma,27.5667,95.5667,22.13,72,40,1.4,IN,1715101406
26,urangan,-25.3,152.9,18.44,96,13,2.68,AU,1715101407
27,lihue,21.9789,-159.3672,22.98,79,75,5.14,US,1715101407
28,suhbaatar,50.2314,106.2078,8.52,60,100,5.94,MN,1715101277
29,tazacorte,28.629,-17.9293,23.97,80,20,3.6,ES,1715101407
30,bethel,41.3712,-73.414,26.21,38,0,3.09,US,1715101144
31,monrovia,6.3005,-10.7969,32.87,72,36,4.51,LR,1715101120
32,thompson,55.7435,-97.8558,10.09,57,40,6.69,CA,1715101407
33,ustyuzhna,58.8394,36.4321,1.98,73,99,3.03,RU,1715101407
34,gujba,11.5032,11.9367,39.74,9,100,2.42,NG,1715101408
35,kodiak,57.79,-152.4072,2.59,98,100,1.56,US,1715101249
36,kirensk,57.7853,108.1119,5.54,55,30,2.24,RU,1715101408
37,singkil,-7.9855,111.4161,23.83,94,25,2.1,ID,1715101408
38,rio grande,-32.035,-52.0986,23.06,82,99,3.53,BR,1715101158
39,nova vicosa,-17.8919,-39.3719,28.95,65,17,4.06,BR,1715101408
40,waitangi,-43.9535,-176.5597,9.66,57,22,3.87,NZ,1715101408
41,weno,7.4515,151.8468,25.97,94,100,0.0,FM,1715101408
42,puerto ayora,-0.7393,-90.3518,28.98,95,56,0.45,EC,1715101408
43,bouna,9.2667,-3.0,35.29,37,90,2.14,CI,1715101409
44,hasaki,35.7333,140.8333,19.22,90,100,5.24,JP,1715101409
45,ta`u,-14.2336,-169.5144,28.93,79,100,3.84,AS,1715101409
46,sioux center,43.0797,-96.1756,17.44,56,43,2.24,US,1715101279
47,sanctuary point,-35.1114,150.629,14.62,87,99,2.75,AU,1715101409
48,revda,56.801,59.9303,1.4,94,100,1.93,RU,1715101309
49,nurmes,63.5421,29.1397,-0.46,55,100,4.17,FI,1715101409
50,namtsy,62.7161,129.6658,4.13,86,100,4.85,RU,1715101409
51,port mathurin,-19.6833,63.4167,25.83,63,95,12.31,MU,1715101409
52,yanchep,-31.55,115.6833,20.07,46,4,4.99,AU,1715101410
53,luderitz,-26.6481,15.1594,17.16,81,1,4.87,,1715101410
54,nyala,12.05,24.8833,34.37,9,17,3.97,SD,1715101410
55,tiksi,71.6872,128.8694,-0.26,99,100,5.29,RU,1715101410
56,camana,-16.6228,-72.7111,22.07,73,92,5.28,PE,1715101410
57,leshan,29.5623,103.7639,19.88,89,100,1.58,CN,1715101410
58,chonchi,-42.6128,-73.8092,8.56,78,91,1.74,CL,1715101410
59,valongo,41.195,-8.5103,25.91,55,0,4.63,PT,1715101207
60,muisne,0.6,-80.0333,27.35,80,95,6.36,EC,1715101410
61,puerto natales,-51.7236,-72.4875,1.25,75,0,1.03,CL,1715100820
62,remire-montjoly,4.9167,-52.2667,29.02,84,75,7.2,GF,1715101411
63,vila franca do campo,37.7167,-25.4333,19.23,99,58,4.38,PT,1715101411
64,porto franco,-6.3383,-47.3992,32.52,46,100,3.39,BR,1715101411
65,novodvinsk,64.4165,40.8122,0.99,34,87,2.21,RU,1715101298
66,jinxiang,27.4327,120.6062,19.63,84,74,1.72,CN,1715101116
67,georgetown,5.4112,100.3354,29.97,81,20,2.06,MY,1715101196
68,susuman,62.7833,148.1667,0.55,75,100,2.24,RU,1715101411
69,saldanha,-33.0117,17.9442,16.03,88,71,3.27,ZA,1715101411
70,nevel'sk,46.6733,141.8633,0.81,80,100,8.57,RU,1715101411
71,saipan,15.1355,145.701,27.39,78,0,2.06,MP,1715101412
72,mukalla,14.5425,49.1242,29.39,73,18,2.25,YE,1715101412
73,ust'-barguzin,53.45,108.9833,1.14,97,86,2.37,RU,1715101412
74,ust-nera,64.5667,143.2,-2.53,93,71,2.0,RU,1715101412
75,lompoc,34.6391,-120.4579,21.45,62,0,8.75,US,1715101259
76,zimnicea,43.6667,25.3667,22.01,58,41,2.35,RO,1715101412
77,cidreira,-30.1811,-50.2056,27.78,59,39,1.58,BR,1715101274
78,polyarnyy,69.1989,33.4478,-2.28,70,90,5.11,RU,1715101335
79,college,64.8569,-147.8028,3.98,88,75,2.06,US,1715101412
80,zyryanovsk,49.7386,84.2719,13.29,58,97,0.34,KZ,1715101413
81,san patricio,28.017,-97.5169,30.92,74,100,3.43,US,1715101413
82,kizhinga,51.8462,109.9097,6.74,68,100,6.25,RU,1715101413
83,ise,34.4833,136.7,17.62,75,100,5.01,JP,1715101413
84,kapuskasing,49.4169,-82.4331,16.05,44,20,3.09,CA,1715101413
85,klyuchi,52.2667,79.1667,13.1,37,100,2.84,RU,1715101269
86,punta arenas,-53.15,-70.9167,3.06,90,100,5.66,CL,1715101413
87,brisas de zicatela,15.8369,-97.0419,29.29,84,20,5.14,MX,1715101413
88,socorro,31.6546,-106.3033,24.62,15,0,7.36,US,1715101231
89,fortuna,40.5982,-124.1573,12.77,76,20,5.66,US,1715101414
90,oppdal,62.5943,9.6912,8.51,93,100,1.1,NO,1715101414
91,papatowai,-46.5619,169.4708,9.82,82,93,5.39,NZ,1715101414
92,vila velha,-20.3297,-40.2925,26.97,78,40,3.09,BR,1715101212
93,udachny,66.4167,112.4,-0.31,98,85,9.4,RU,1715101116
94,poronaysk,49.2167,143.1167,-1.95,76,90,4.92,RU,1715101414
95,el calafate,-50.3408,-72.2768,-1.68,64,93,1.19,AR,1715101117
96,leer,53.2316,7.461,17.78,78,98,0.45,DE,1715101414
97,dryden,49.7833,-92.7503,17.16,45,75,7.2,CA,1715101236
98,shaowu,27.3409,117.4831,20.82,85,100,1.02,CN,1715101415
99,tororo,0.693,34.1809,20.42,89,94,2.84,UG,1715101415
100,mount pearl,47.5166,-52.7813,8.31,96,100,2.57,CA,1715101415
101,acarau,-2.8856,-40.12,30.84,68,88,5.3,BR,1715101267
102,hamilton,39.1834,-84.5333,23.93,86,40,2.06,US,1715101391
103,tolanaro,-25.0319,46.9987,24.04,88,40,4.12,MG,1715101415
104,cartagena del chaira,1.3349,-74.8429,31.06,62,65,1.28,CO,1715101415
105,laojunmiao,39.8333,97.7333,16.09,18,0,2.16,CN,1715101215
106,nar'yan-mar,67.6713,53.087,-6.05,83,90,7.6,RU,1715101416
107,fale old settlement,-9.3852,-171.2468,29.29,77,94,4.41,TK,1715101416
108,mahdia,35.5047,11.0622,21.97,64,66,7.39,TN,1715101416
109,port lincoln,-34.7333,135.8667,14.7,85,45,5.68,AU,1715101416
110,ushuaia,-54.8,-68.3,4.81,60,20,0.51,AR,1715101237
111,igarka,67.4667,86.5833,-8.32,96,98,2.24,RU,1715101299
112,stanley,54.868,-1.6985,13.77,79,0,4.12,GB,1715101416
113,jolo,6.05,121.0167,26.2,90,59,0.49,PH,1715101416
114,vadso,70.0744,29.7487,0.49,80,40,5.14,NO,1715101125
115,federacion,-31.0062,-57.8996,26.94,80,100,5.41,AR,1715101176
116,wailua homesteads,22.0669,-159.378,22.64,83,75,5.14,US,1715101417
117,ilulissat,69.2167,-51.1,-4.99,63,75,1.03,GL,1715101417
118,anadyr,64.75,177.4833,-8.72,79,75,7.0,RU,1715101417
119,glendive,47.1053,-104.7125,8.75,93,100,8.75,US,1715101417
120,beaufort west,-32.3567,22.583,23.53,23,26,4.77,ZA,1715101417
121,vilyuysk,63.7553,121.6247,2.78,85,75,4.47,RU,1715101325
122,wau,7.7029,27.9953,34.19,26,52,2.1,SS,1715101418
123,ponta delgada,37.7333,-25.6667,19.4,88,75,4.12,PT,1715101418
124,smolensk,55.0,33.0,3.13,83,59,0.85,RU,1715101418
125,howrah,22.5892,88.3103,30.0,74,40,3.09,IN,1715101311
126,hermanus,-34.4187,19.2345,14.89,88,97,3.64,ZA,1715101418
127,bilibino,68.0546,166.4372,-4.93,97,86,0.7,RU,1715101418
128,ust'-uda,54.1742,103.0304,4.77,78,24,1.36,RU,1715101418
129,ceeldheer,3.8488,47.1806,28.87,76,100,4.3,SO,1715101418
130,nilsia,63.2,28.0833,-0.08,59,100,4.18,FI,1715101419
131,mossel bay,-34.1831,22.146,17.96,87,21,2.97,ZA,1715101419
132,lushun,38.8,121.2667,12.12,59,37,3.64,CN,1715101419
133,arraial do cabo,-22.9661,-42.0278,29.98,45,0,8.23,BR,1715101419
134,kismayo,-0.3582,42.5454,27.16,83,82,6.91,SO,1715101419
135,harrison,30.4091,-89.0436,30.01,70,75,7.2,US,1715101419
136,whitehorse,60.7161,-135.0538,5.05,66,75,7.2,CA,1715101419
137,pinillos,8.9193,-74.4677,32.76,63,99,1.86,CO,1715101419
138,al kharijah,25.4514,30.5464,26.29,16,0,5.07,EG,1715101419
139,isafjordur,66.0755,-23.124,5.02,70,75,4.63,IS,1715101420
140,morehead city,34.7229,-76.726,28.91,72,0,7.72,US,1715101155
141,shache,38.4167,77.2406,23.69,19,0,3.28,CN,1715101420
142,happy valley-goose bay,53.3168,-60.3315,11.17,58,75,4.63,CA,1715101208
143,kachkanar,58.7,59.4948,1.33,60,100,0.47,RU,1715101420
144,stanthorpe,-28.6667,151.95,11.35,97,82,5.73,AU,1715101420
145,novoishimskiy,53.1981,66.7694,9.99,58,39,2.08,KZ,1715101420
146,neiafu,-18.65,-173.9833,27.38,94,20,2.06,TO,1715101420
147,aswan,24.0934,32.907,31.61,11,0,3.09,EG,1715100931
148,kapit,2.0167,112.9333,24.25,99,100,0.24,MY,1715101421
149,vernon,50.2581,-119.2691,12.56,50,100,2.57,CA,1715101201
150,montpon-menesterol,45.0,0.1667,16.99,79,65,3.73,FR,1715101421
151,brak,27.5496,14.2714,35.45,13,37,5.77,LY,1715101250
152,colac,-38.3333,143.5833,12.13,95,3,2.03,AU,1715101421
153,port elizabeth,-33.918,25.5701,20.05,92,75,7.72,ZA,1715101421
154,necochea,-38.5473,-58.7368,17.36,74,88,6.97,AR,1715101421
155,metlili chaamba,32.2667,3.6333,32.52,11,62,2.06,DZ,1715101422
156,nova sintra,14.8667,-24.7167,24.44,71,1,7.23,CV,1715101134
157,cabo san lucas,22.8909,-109.9124,28.67,64,100,0.45,MX,1715101201
158,sechura,-5.5569,-80.8222,25.82,57,100,5.9,PE,1715101294
159,sakakah,29.9697,40.2064,24.76,18,52,3.61,SA,1715101139
160,olonkinbyen,70.9221,-8.7187,0.45,86,9,6.25,SJ,1715101422
161,longyearbyen,78.2186,15.6401,1.91,69,75,3.09,SJ,1715101398
162,qaqortoq,60.7167,-46.0333,2.45,49,55,2.02,GL,1715101422
163,xining,36.6167,101.7667,12.35,45,34,0.78,CN,1715101423
164,enewetak,11.3474,162.3373,27.88,80,89,8.51,MH,1715101423
165,shorapur,16.5167,76.75,36.2,23,26,6.11,IN,1715101423
166,vryburg,-26.9566,24.7284,20.06,22,0,1.97,ZA,1715101423
167,macau,22.2006,113.5461,27.06,94,40,4.63,MO,1715101217
168,san antonio de pale,-1.4014,5.6325,27.8,82,98,3.37,GQ,1715101423
169,kiama,-34.6833,150.8667,15.21,95,92,0.89,AU,1715101423
170,jijiga,9.35,42.8,21.96,67,80,3.55,ET,1715101423
171,yusufeli,40.8204,41.5443,10.71,85,99,2.31,TR,1715101423
172,tura,25.5198,90.2201,23.78,67,40,1.77,IN,1715101424
173,el matama,16.7095,33.3565,35.07,6,0,6.18,SD,1715101424
174,umm kaddadah,13.6017,26.6876,33.33,11,7,5.95,SD,1715101329
175,corovode,40.5042,20.2272,16.65,78,83,2.03,AL,1715101424
176,jamestown,42.097,-79.2353,24.18,47,0,1.79,US,1715101151
177,minot,48.2325,-101.2963,11.12,87,100,4.63,US,1715101298
178,west island,-12.1568,96.8225,26.99,78,1,4.12,CC,1715101424
179,puerto ayacucho,5.6639,-67.6236,31.99,63,98,1.63,VE,1715101424
180,labrador city,52.9463,-66.9114,5.66,58,75,5.36,CA,1715101136
181,kapa'a,22.0752,-159.319,23.39,80,75,5.14,US,1715101425
182,saint helena,-15.95,-5.7,20.63,72,17,10.67,SH,1715101425
183,usinsk,65.9939,57.5281,-4.4,90,100,6.26,RU,1715101425
184,isla mujeres,21.2311,-86.731,31.03,73,1,6.67,MX,1715101425
185,atafu village,-8.5421,-172.5159,29.5,76,54,5.22,TK,1715101282
186,pacific grove,36.6177,-121.9166,15.77,77,25,4.92,US,1715101289
187,hawaiian paradise park,19.5933,-154.9731,21.13,97,100,2.57,US,1715101425
188,nadym,65.5333,72.5167,-2.24,83,98,6.39,RU,1715101425
189,sooke,48.3746,-123.7276,13.38,73,4,10.29,CA,1715101426
190,arba minch,6.0333,37.55,20.54,91,98,2.04,ET,1715101426
191,loikaw,19.6742,97.2094,23.03,67,20,1.22,MM,1715101426
192,juan griego,11.0817,-63.9655,31.66,59,97,5.37,VE,1715101426
193,konarka,19.9,86.1167,27.22,80,100,2.77,IN,1715101426
194,st. john's,47.5649,-52.7093,8.77,95,100,2.06,CA,1715101334
195,vung tau,10.346,107.0843,29.88,75,76,9.32,VN,1715101426
196,luena,-11.7833,19.9167,26.1,53,47,3.09,AO,1715101426
197,iskateley,67.6803,53.1512,-6.1,83,90,7.6,RU,1715101427
198,nemuro,43.3236,145.575,3.12,92,100,7.23,JP,1715101145
199,usogorsk,63.4106,48.6872,-4.07,86,45,1.43,RU,1715101427
200,severo-yeniseyskiy,60.3725,93.0408,-3.01,96,99,1.79,RU,1715101427
201,hithadhoo,-0.6,73.0833,29.43,77,76,4.88,MV,1715101427
202,akureyri,65.6835,-18.0878,9.96,50,40,7.72,IS,1715101427
203,cuamba,-14.8031,36.5372,22.87,54,8,1.67,MZ,1715101427
204,avarua,-21.2078,-159.775,27.03,94,100,3.09,CK,1715101428
205,fraserburgh,57.6874,-2.0184,11.18,79,100,2.79,GB,1715101428
206,benguela,-12.5763,13.4055,26.82,76,33,3.26,AO,1715101332
207,horta,38.5333,-28.6333,19.8,91,40,7.15,PT,1715101295
208,mirny,62.5353,113.9611,0.13,92,63,5.36,RU,1715101428
209,codrington,-38.2667,141.9667,8.5,93,0,3.11,AU,1715101428
210,nyurba,63.2842,118.3319,-0.42,90,39,4.61,RU,1715101428
211,keflavik,64.0049,-22.5624,5.95,81,75,11.32,IS,1715101429
212,kingaroy,-26.5333,151.8333,14.71,89,94,4.39,AU,1715101429
213,tucumcari,35.1717,-103.725,23.3,6,0,10.55,US,1715101429
214,east london,-33.0153,27.9116,24.52,53,0,4.12,ZA,1715101429
215,ancud,-41.8697,-73.8203,8.42,72,93,2.93,CL,1715101212
216,sakon nakhon,17.3333,103.8333,28.84,63,96,1.19,TH,1715101429
217,gonzales,30.2385,-90.9201,30.59,72,75,6.17,US,1715101429
218,nuuk,64.1835,-51.7216,1.34,60,0,3.6,GL,1715101429
219,bairnsdale,-37.8333,147.6167,6.7,96,11,1.98,AU,1715101429
220,tsiombe,-25.3,45.4833,22.37,82,0,4.88,MG,1715101430
221,ban nam yuen,9.8769,98.8659,23.59,97,100,0.71,TH,1715101430
222,san matias,-16.3667,-58.4,36.17,29,45,4.17,BO,1715101430
223,pyhajarvi,67.0701,27.2176,-1.84,85,34,3.25,FI,1715101430
224,aguas vermelhas,-15.7472,-41.46,28.27,36,0,4.23,BR,1715101430
225,vilyuchinsk,52.9306,158.4028,1.81,89,89,1.68,RU,1715101430
226,hanceville,34.0607,-86.7675,27.87,58,100,5.2,US,1715101131
227,bridgewater,44.3835,-64.5155,19.5,59,23,4.63,CA,1715101424
228,mbala,-8.8402,31.3659,17.64,85,88,3.93,ZM,1715101430
229,kenai,60.5544,-151.2583,6.19,81,0,4.63,US,1715101431
230,lahore,31.5497,74.3436,33.99,29,0,0.0,PK,1715101211
231,cantley,53.5,-1.05,18.76,1,100,2.39,GB,1715101431
232,mount gambier,-37.8333,140.7667,7.96,97,14,2.2,AU,1715101431
233,port douglas,-16.4833,145.4667,24.59,83,67,5.39,AU,1715101431
234,amursk,50.2261,136.8994,3.88,56,0,2.39,RU,1715101431
235,forster,-32.1667,152.5167,13.54,97,100,3.6,AU,1715101431
236,lebu,-37.6167,-73.65,9.86,74,74,2.58,CL,1715101290
237,saint-pierre,-21.3393,55.4781,24.82,69,0,12.35,RE,1715101266
238,new norfolk,-42.7826,147.0587,12.06,93,100,0.46,AU,1715101432
239,vangaindrano,-23.35,47.6,21.84,88,40,2.9,MG,1715101397
240,saint-philippe,-21.3585,55.7679,24.77,78,72,7.69,RE,1715101432
241,bikenibeu village,1.3673,173.1241,27.98,78,40,3.09,KI,1715101432
242,callao,-12.0667,-77.15,21.16,83,40,2.57,PE,1715101432
243,dhidhdhoo,6.8833,73.1,29.63,73,100,4.64,MV,1715101432
244,santana,-0.0583,-51.1817,26.1,94,100,2.57,BR,1715101371
245,queenstown,-31.8976,26.8753,19.03,30,0,3.45,ZA,1715101248
246,bahia de kino,28.8333,-111.9333,23.56,30,5,1.71,MX,1715101433
247,gusinoozyorsk,51.2833,106.5,6.35,72,77,6.49,RU,1715101433
248,xunchang,28.4543,104.715,19.64,87,100,1.14,CN,1715101433
249,thunder bay,48.4001,-89.3168,13.95,47,100,9.26,CA,1715101433
250,dudinka,69.4058,86.1778,-5.21,98,96,2.54,RU,1715101433
251,harper,4.375,-7.7169,29.63,70,76,3.46,LR,1715101433
252,salem,11.65,78.1667,31.07,58,84,2.12,IN,1715101136
253,el alto,-4.2714,-81.2147,26.81,61,79,7.74,PE,1715101434
254,broome,42.2506,-75.833,23.89,39,0,1.79,US,1715101434
255,ambodifotatra,-16.9833,49.85,26.46,77,5,10.57,MG,1715101434
256,kone,-21.0595,164.8658,17.6,89,0,1.18,NC,1715101434
257,beira,-19.8436,34.8389,24.05,78,0,3.13,MZ,1715101434
258,nouadhibou,20.931,-17.0347,22.99,68,0,8.23,MR,1715101434
259,cannonvale,-20.2833,148.7,23.66,85,39,6.9,AU,1715101434
260,taoudenni,22.6783,-3.9836,40.88,3,5,1.69,ML,1715101435
261,nowshahr,36.649,51.496,16.97,88,75,2.06,IR,1715101435
262,okhotsk,59.3833,143.3,0.2,89,91,3.2,RU,1715101334
263,homosassa springs,28.8036,-82.5759,32.91,62,0,3.6,US,1715101435
264,cockburn town,21.4612,-71.1419,25.16,82,60,9.04,TC,1715101435
265,lalibela,12.0333,39.0333,18.39,67,81,4.46,ET,1715101435
266,aitape,-3.1374,142.3475,26.46,90,100,2.36,PG,1715101435
267,astoria,46.1879,-123.8313,11.62,81,75,4.47,US,1715101204
268,bredasdorp,-34.5322,20.0403,16.9,82,95,4.71,ZA,1715101435
269,colonia,50.9333,6.95,18.31,78,20,2.06,DE,1715100841
270,kale,50.9581,1.8521,14.98,78,2,4.95,FR,1715101436
271,langepas,61.2544,75.2124,2.99,99,100,2.86,RU,1715101436
272,port alfred,-33.5906,26.891,18.43,96,8,0.89,ZA,1715101436
273,leiston,52.2061,1.5776,16.73,74,40,5.5,GB,1715101436
274,kununurra,-15.7667,128.7333,23.99,57,54,1.54,AU,1715101436
275,acajutla,13.5928,-89.8275,30.88,65,75,3.87,SV,1715101436
276,baijiantan,45.6333,85.1833,22.01,48,81,3.31,CN,1715101436
277,ghadamis,30.1337,9.5007,35.93,14,50,10.63,LY,1715101311
278,richards bay,-28.783,32.0377,23.78,72,0,5.0,ZA,1715101240
279,luimneach,52.6647,-8.6231,15.04,73,98,1.94,IE,1715101222
280,tazovsky,67.4667,78.7,-14.26,99,51,3.15,RU,1715101437
281,murzuq,25.9155,13.9184,35.93,12,34,4.6,LY,1715101437
282,conduaga,8.862,117.4893,26.15,82,23,1.37,PH,1715101139
283,hammerfest,70.6634,23.6821,0.25,64,0,4.12,NO,1715101421
284,maralal,1.0968,36.698,17.13,85,88,1.78,KE,1715101437
285,aldan,58.6031,125.3894,1.76,98,98,1.42,RU,1715101438
286,arno,60.1167,18.6333,2.66,64,11,3.52,SE,1715101438
287,awash,8.9833,40.1667,26.51,55,61,2.03,ET,1715101438
288,verdal,63.7933,11.4817,9.02,95,100,1.77,NO,1715101438
289,solnechnyy,50.7214,136.6319,2.24,58,1,1.69,RU,1715101438
290,camayenne,9.535,-13.6878,32.05,74,75,4.12,GN,1715101438
291,coahuayana de hidalgo,18.7,-103.6583,31.47,33,100,2.89,MX,1715101438
292,minas de marcona,-15.2119,-75.1103,19.99,58,84,7.82,PE,1715101438
293,alausi,-2.2,-78.8333,16.11,71,76,1.4,EC,1715101439
294,pangody,65.85,74.4859,-5.18,95,91,6.09,RU,1715101439
295,hami,42.8,93.45,27.72,17,100,7.23,CN,1715101439
296,bardai,11.65,7.2333,34.55,28,68,2.38,NG,1715101311
297,badger,64.8,-147.5333,3.93,91,100,0.55,US,1715101365
298,ulladulla,-35.35,150.4667,13.9,90,94,2.92,AU,1715101439
299,buka,40.8108,69.1986,22.24,55,59,3.81,UZ,1715101304
300,tommot,58.9564,126.2925,2.02,99,100,0.96,RU,1715101439
301,alibag,18.6411,72.8792,30.04,77,0,2.42,IN,1715101439
302,al wakrah,24.85,51.3333,30.05,39,73,6.71,QA,1715101439
303,malango,-2.9627,119.9001,19.59,99,100,0.87,ID,1715101145
304,manta,-0.95,-80.7333,30.88,66,75,3.6,EC,1715101440
305,virac,13.6333,124.2167,23.61,83,61,1.97,PH,1715101440
306,barkhan,29.8977,69.5256,28.18,15,0,2.27,PK,1715101440
307,manokwari,-0.8667,134.0833,26.39,82,100,1.76,ID,1715101346
308,omis,43.4447,16.6886,20.1,72,71,5.8,HR,1715101440
309,katsuura,35.1333,140.3,19.77,91,100,6.85,JP,1715101440
310,bandon,51.7469,-8.7425,13.77,80,99,4.55,IE,1715101440
311,kangding,30.0513,101.9603,10.03,99,100,1.26,CN,1715101440
312,mangrol,21.1167,70.1167,28.25,81,0,6.23,IN,1715101441
313,trevelin,-43.0858,-71.4639,2.71,100,99,1.0,AR,1715101441
314,ballina,-28.8667,153.5667,14.88,77,46,5.35,AU,1715101441
315,chipinge,-20.1883,32.6236,17.38,55,0,2.69,ZW,1715101338
316,xinyuan,37.3,99.0,4.94,64,21,1.05,CN,1715101441
317,constantia,44.1833,28.65,21.5,85,94,6.75,RO,1715101441
318,petropavlovsk-kamchatsky,53.0452,158.6483,0.99,78,100,3.58,RU,1715101441
319,pestravka,52.405,49.9583,17.17,52,11,8.3,RU,1715101441
320,santa marta,11.2408,-74.199,33.03,66,20,3.09,CO,1715101441
321,matoury,4.8483,-52.3317,28.98,84,75,7.2,GF,1715101442
322,olinda,-8.0089,-34.8553,28.85,84,75,3.6,BR,1715101237
323,pont rouge,48.8833,-72.0825,11.16,57,100,6.91,CA,1715101442
324,lautoka,-17.6167,177.4667,23.92,88,40,3.09,FJ,1715101276
325,la tuque,47.4334,-72.7824,16.14,39,85,5.14,CA,1715101291
326,amod,21.9833,72.9,31.08,56,0,6.88,IN,1715101442
327,pemangkat,1.1667,108.9667,28.1,75,99,0.89,ID,1715101442
328,awjilah,29.1081,21.2869,28.58,15,16,3.7,LY,1715101398
329,buurhakaba,2.8026,44.0781,27.21,74,97,3.3,SO,1715101443
330,turochak,52.2576,87.1224,9.68,72,99,0.7,RU,1715101443
331,bemidji,47.4736,-94.8803,12.81,99,100,6.17,US,1715101373
332,pangoa,-12.1167,-73.0,27.71,74,61,1.64,PE,1715101443
333,libenge,3.65,18.6333,28.96,56,99,0.6,CD,1715101443
334,yuanping,38.7153,112.7575,15.57,46,0,0.34,CN,1715101443
335,penzance,50.1186,-5.5371,15.98,82,20,5.14,GB,1715101444
336,petropavlovka,50.6114,105.3196,7.21,68,86,1.18,RU,1715101444
337,hadibu,12.65,54.0333,29.69,74,13,1.13,YE,1715101444
338,salinopolis,-0.6136,-47.3561,28.19,84,84,4.01,BR,1715101444
339,copala,16.65,-98.9833,30.2,54,10,4.93,MX,1715101444
340,portland,45.5234,-122.6762,12.51,73,75,2.57,US,1715101128
341,santiago de cuba,20.0247,-75.8219,30.06,70,40,4.12,CU,1715101444
342,san juan,-31.5375,-68.5364,24.0,21,0,5.74,AR,1715101255
343,hobyo,5.3505,48.5268,29.26,75,100,4.39,SO,1715101445
344,tateyama,34.9833,139.8667,20.61,92,100,6.06,JP,1715101445
345,plouzane,48.3833,-4.6167,18.03,67,0,4.63,FR,1715101445
346,lata,40.1629,-8.3327,23.6,47,100,3.02,PT,1715101445
347,fort frances,48.5999,-93.4003,12.12,85,100,5.66,CA,1715101304
348,utrik,11.2278,169.8474,27.54,77,98,8.68,MH,1715101445
349,kondoa,-4.9,35.7833,18.03,95,97,2.25,TZ,1715101445
350,bredy,52.4153,60.3411,10.81,44,0,2.42,RU,1715101446
351,riohacha,11.5444,-72.9072,34.06,59,40,6.69,CO,1715101224
352,oum hadjer,13.2954,19.6966,38.96,7,32,3.96,TD,1715101446
353,mersa matruh,31.3525,27.2453,21.11,56,0,5.14,EG,1715101446
354,hilo,19.7297,-155.09,21.17,96,97,2.69,US,1715101206
355,talnakh,69.4865,88.3972,-5.44,96,98,2.59,RU,1715101446
356,chichiriviche,10.9333,-68.2772,28.5,81,100,4.55,VE,1715101446
357,geraldton,-28.7667,114.6,13.23,71,1,2.06,AU,1715101297
358,crane,31.3974,-102.3501,26.65,13,53,3.44,US,1715101447
359,aizkraukle,56.6048,25.2553,6.14,52,9,5.34,LV,1715101447
